id_fornecedor,nome,cnpj,telefone,created_at
1,Jesus Mendonça e Filhos,38.671.405/0001-24,(041) 0730-9025,2023-08-09 22:45:43
2,Lopes Alves S/A,18.276.493/0001-52,(071) 3686 7275,2024-03-04 19:22:36
3,Nogueira Castro e Filhos,59.482.736/0001-96,+55 11 7127-5183,2024-03-31 02:33:10
4,Abreu Ltda.,62.037.845/0001-09,+55 21 3906-2915,2025-09-29 01:54:47
5,Carvalho Casa Grande S/A,37.425.180/0001-63,+55 71 9951-0875,2024-05-23 22:39:58
6,Lopes,61.780.523/0001-92,81 4044-5321,2024-03-26 09:08:44
7,Teixeira,97.302.158/0001-58,(071) 2560-0360,2024-03-30 11:33:06
8,Oliveira,43.185.092/0001-34,(051) 9616 5650,2025-02-25 17:11:24
9,Siqueira e Filhos,63.142.809/0001-78,(081) 3954 4963,2023-05-02 22:07:13
10,Costa,85.940.163/0001-07,(071) 8313 6952,2023-05-21 17:56:45
11,Cavalcante,93.576.428/0001-68,+55 41 3245 1524,2022-12-07 16:09:11
12,Sales e Filhos,41.528.076/0001-71,+55 84 8391-1286,2023-08-27 22:42:12
13,Monteiro S/A,19.374.625/0001-41,+55 41 5327-2905,2023-02-24 07:13:24
14,Pastor,30.592.761/0001-40,+55 (051) 0250 0654,2022-12-06 09:46:25
15,Fogaça Campos Ltda.,08.732.461/0001-60,(081) 1529-5150,2025-03-21 12:22:34
16,Marques Leão - ME,31.482.059/0001-97,84 0727 7730,2025-04-02 22:38:23
17,Viana,53.920.761/0001-28,+55 (061) 5926 4758,2023-01-25 03:29:57
18,Montenegro,08.763.249/0001-60,+55 (081) 4712-7587,2023-09-26 05:05:23
19,Melo e Filhos,38.690.214/0001-00,11 0081 0008,2023-02-07 05:12:22
20,Pires Fogaça e Filhos,83.541.602/0001-83,61 4009 5231,2025-09-23 05:28:00
21,Marques,87.142.509/0001-57,+55 (081) 2007 4910,2025-03-15 10:08:45
22,Teixeira Pimenta - ME,84.263.570/0001-64,+55 11 7627 9382,2025-09-26 09:01:59
23,Cassiano S.A.,20.678.154/0001-44,+55 21 0536 4215,2025-11-16 12:09:53
24,Silveira,57.891.023/0001-50,21 9798-6620,2024-12-28 15:54:35
25,Aparecida - EI,21.467.350/0001-32,0800 676 6894,2023-05-24 16:33:25
26,Azevedo,59.764.103/0001-70,(084) 5978 5939,2024-02-01 15:02:38
27,Lima e Filhos,90.274.531/0001-65,(021) 2943 8520,2023-05-18 18:17:13
28,Novais - EI,61.954.827/0001-29,(021) 6483 5042,2023-09-01 08:49:29
29,Macedo,32.710.468/0001-66,+55 84 2594 6360,2023-04-30 12:22:19
30,Abreu - ME,60.754.238/0001-34,+55 (011) 3268 2470,2023-10-19 00:58:27
31,Melo,60.214.839/0001-54,(021) 8148-0899,2025-08-04 01:03:27
32,Moura Ltda.,86.175.409/0001-64,+55 11 7124 9849,2024-05-12 01:30:57
33,Borges,53.196.420/0001-51,+55 31 1633 7778,2025-11-07 17:06:39
34,Peixoto,32.056.174/0001-62,+55 (081) 8354 8478,2023-03-22 01:56:39
35,Machado S.A.,57.183.629/0001-31,(011) 0735-5752,2025-07-23 20:29:05
36,Silva,29.083.567/0001-50,+55 (011) 0192 7164,2023-04-27 13:44:48
37,Cardoso,36.452.190/0001-25,0900 925 0935,2024-02-11 10:39:02
38,Gonçalves e Filhos,46.178.592/0001-37,+55 41 0992-0510,2024-04-03 02:38:22
39,Novais S/A,91.802.354/0001-05,+55 (084) 2216 6809,2025-11-14 11:47:36
40,Sampaio S/A,81.652.349/0001-00,(051) 3689-3122,2025-08-06 06:01:51
41,Costa,30.684.571/0001-53,(041) 7501-6128,2024-06-14 18:15:02
42,Nunes - ME,53.410.296/0001-85,71 2441-5598,2024-06-16 09:01:57
43,da Cruz,17.568.249/0001-09,71 3978-3619,2025-05-05 20:01:37
44,Leão e Filhos,96.024.537/0001-60,31 0836 6761,2023-03-02 10:13:59
45,Santos,46.290.853/0001-06,41 1967 0043,2023-11-04 02:41:36
46,Brito Teixeira e Filhos,75.649.802/0001-26,31 2533-3516,2025-07-07 15:05:11
47,das Neves Andrade Ltda.,94.103.587/0001-08,51 9221 9347,2022-11-26 07:06:44
48,Melo S/A,34.710.586/0001-08,+55 (071) 6804-0492,2025-08-17 04:45:18
49,Viana,45.321.697/0001-30,0300-507-5199,2024-09-02 00:24:56
50,Moraes e Filhos,42.719.035/0001-25,84 4144 3748,2024-07-23 07:08:12
51,Rios,38.754.960/0001-10,+55 31 3635-6954,2023-01-06 17:06:06
52,Pires da Luz Ltda.,45.016.793/0001-75,+55 (081) 1711 0464,2023-05-08 17:11:15
53,Pastor,17.623.859/0001-50,0800 043 5952,2025-10-30 12:29:12
54,Carvalho Sousa e Filhos,10.932.748/0001-86,+55 21 5364 2689,2023-08-25 16:12:13
55,Farias,24.306.875/0001-84,(051) 0310 2567,2023-11-04 13:58:26
56,Ribeiro e Filhos,26.349.758/0001-23,81 9098 4637,2023-02-11 21:44:59
57,Costela,40.862.751/0001-31,0900-069-5233,2023-11-03 03:58:20
58,Pacheco,75.683.241/0001-81,(081) 0272 8568,2023-12-10 17:11:48
59,Costa e Filhos,48.571.630/0001-42,(071) 2752 7321,2025-09-19 22:47:20
60,Souza da Rocha - EI,78.943.205/0001-06,+55 21 9423 2093,2025-09-11 18:44:04
61,Cavalcanti,17.259.806/0001-00,+55 (021) 8864-1597,2024-11-20 19:25:55
62,Pereira Andrade S.A.,87.103.295/0001-00,+55 84 1486-6188,2025-06-26 14:57:08
63,Fernandes,07.549.683/0001-80,+55 (021) 3508 9727,2023-03-30 02:47:18
64,Freitas da Conceição S/A,75.936.084/0001-79,+55 (041) 8802 8244,2023-05-26 22:34:05
65,Ramos Caldeira S/A,90.172.385/0001-67,+55 (081) 7070-3972,2024-08-31 02:36:24
66,Sá,68.294.351/0001-96,+55 81 2665 3035,2023-08-29 22:59:43
67,Peixoto,13.406.572/0001-17,(084) 5858 0151,2024-02-17 16:26:33
68,Pastor S/A,08.951.346/0001-87,(011) 6430 0824,2025-04-01 12:43:16
69,da Conceição,93.120.784/0001-72,0500 937 4610,2025-08-12 04:54:13
70,da Cruz,79.320.415/0001-00,71 8171 5670,2025-04-03 00:26:16
71,Mendonça S/A,32.587.094/0001-33,81 5581-1047,2023-10-19 13:44:56
72,Lima e Filhos,06.824.397/0001-12,31 0269 0325,2025-08-02 08:45:33
73,Cassiano Barros S.A.,09.358.147/0001-22,(081) 4040-8948,2023-07-10 07:54:56
74,Martins - EI,34.285.706/0001-69,61 1937-4121,2025-05-15 07:58:36
75,Cavalcanti,74.523.981/0001-98,31 2753-3077,2024-01-04 13:55:43
76,Santos,50.863.214/0001-60,+55 (081) 2509-4186,2023-10-03 21:07:33
77,Costela das Neves S.A.,72.163.450/0001-06,+55 84 4642-2199,2023-07-11 04:38:14
78,Gonçalves,59.682.401/0001-11,+55 (084) 1569-6619,2025-07-17 05:21:38
79,Moura Mendes Ltda.,75.860.314/0001-63,+55 (084) 3507 5918,2024-12-01 03:52:23
80,Novais,20.348.956/0001-96,(071) 1381-3645,2025-10-26 09:46:14
81,Casa Grande S/A,94.567.832/0001-38,(031) 4234-7828,2025-07-31 08:35:22
82,Albuquerque,80.731.692/0001-87,41 3515 2261,2022-12-28 00:24:37
83,da Cruz Andrade - ME,53.842.176/0001-57,61 4212-2162,2024-08-12 06:17:37
